Conversion ID,Catergory,Advertiser,Status,Order ID,Conversion Time,Click Time,Currency,EUID,Estimate Order Value,Estimate Optimise Cashback Value,Cashback % or Amount,Estimate M1 Cashback Value,"Estimate Cashback Value
(Exclude GST)",Partner/Advertiser status,Settlement Date,Partner Approved but payment not received. But pulseid have done the settlement
ce9114087ed149ed96ae84630ed07ff9-1,Travel,Trip.com,Pending,1578937414303284,25/03/2025 22:40,25/03/2025 14:39,SGD,d50637e5-0270-4167-84e0-6c6d4b3bf52c,33.45,0.57,1.70%,0.570,0.519,,,
fec220a6a40b422886c428e511e629e3-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325HMW0RMKF_16516122574_1,25/03/2025 20:56,25/03/2025 20:53,SGD,f19acf4c-5084-49e4-9e80-6ffa95548f39,14.76,0.24,1.60%,0.236,0.215,,,
63ca5fedec7a4f16a2b05e606c03c76a-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325GGDS5NHJ_1483501579_1,25/03/2025 10:03,25/03/2025 10:00,SGD,b5f8c1e4-c181-43cd-8afd-6ba33426d307,4.00,0.06,1.60%,0.064,0.058,,,
6809fd4c8c8e415c80a99dab4d24bab1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325GGDS5NHM_11746564182_1,25/03/2025 10:03,25/03/2025 10:00,SGD,b5f8c1e4-c181-43cd-8afd-6ba33426d307,12.86,0.21,1.60%,0.206,0.187,,,
8493c1219ebf4077aee441b357fd904d,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325GGDS5NHQ_29522931992_1,25/03/2025 10:03,25/03/2025 10:00,SGD,b5f8c1e4-c181-43cd-8afd-6ba33426d307,10.76,0.17,1.60%,0.172,0.157,,,
3d01175c216048fda180af905a728806-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325GGDS5NHK_6350682528_1,25/03/2025 10:03,25/03/2025 10:00,SGD,b5f8c1e4-c181-43cd-8afd-6ba33426d307,6.96,0.11,1.60%,0.111,0.101,,,
914619418ca640209b731449afe057c2-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250325FF6EXRF8_17263193666_1,25/03/2025 00:08,25/03/2025 00:07,SGD,8b5ab1cd-2a05-4e90-a4e6-47abfb7bc215,1.99,0.03,1.60%,0.032,0.029,,,
482858498,Travel,Klook Travel - CPS,Pending,2672034893_1372213529,26/03/2025 04:30,26/03/2025 04:29,SGD,bce3b39a-b80f-4d01-a1c2-257faeb3be9d,38.09,1.90,4.50%,1.714,1.560,,,
f4b21148a9c44c4aaa8e4992f723b0ce-1,Travel,Trip.com,Pending,1578937940520321,26/03/2025 08:38,26/03/2025 00:17,SGD,9632d0bc-e41a-4036-91e8-413b208adebd,175.36,7.02,4.00%,,,,,
84c8ee452fbd40038a039ccd3ab400ee-1,Travel,Trip.com,Pending,1578938004872305,26/03/2025 01:34,25/03/2025 15:41,SGD,9632d0bc-e41a-4036-91e8-413b208adebd,125.53,1.00,0.80%,1.000,0.910,,,
53ebbea2053b40e4990cfa997d23ddc4-1,Travel,Trip.com,Pending,1578938004860657,26/03/2025 01:29,25/03/2025 15:41,SGD,9632d0bc-e41a-4036-91e8-413b208adebd,132.53,1.06,0.80%,1.060,0.965,,,
2402d04882954f29b906931120dd33a7-1,Travel,Trip.com,Pending,1653700000000000,26/03/2025 00:20,23/03/2025 06:45,SGD,c6c04c05-0897-4777-bee0-0c380f7914e9,818.82,6.55,0.80%,6.550,5.961,,,
7817ac2dcd4f44ef9468c67f4cdd333a,Cafe,Foodpanda,Pending,SG_hyv1-2513-rxh3,25/03/2025 17:34,25/03/2025 17:29,SGD,5a837b29-5074-4a5d-8372-43e85a936e32,26.08,0.13,0.30%,0.078,0.071,,,
1828b24aa0d54fd1a1991f00c4f5fda0-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324FC9YPXDG_13250385323_1,24/03/2025 23:16,21/03/2025 06:23,SGD,c3b14614-9651-474d-974c-4428e15ccb68,4.44,0.07,1.60%,0.071,0.065,,,
a4280fde751a479bab7b9b6777c3256f-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324F632XSCD_23167378851_3,24/03/2025 21:25,24/03/2025 20:16,SGD,5974bc81-ac56-467c-9979-eca5e1c5d0de,6.57,0.11,1.60%,0.105,0.096,,,
09cd2c85f0b249df8fa55ca6874b18a5-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324F632XSCD_22941893357_2,24/03/2025 21:25,24/03/2025 20:16,SGD,5974bc81-ac56-467c-9979-eca5e1c5d0de,6.87,0.11,1.60%,0.110,0.100,,,
eeba1da824f44405a108683dbfc20cb2-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324F632XSCD_12318748578_1,24/03/2025 21:25,24/03/2025 20:16,SGD,5974bc81-ac56-467c-9979-eca5e1c5d0de,7.10,0.11,1.60%,0.114,0.103,,,
d57756d42e264381a62c8617e77d66fd-1,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324F5B8WH22_19872190682_1,24/03/2025 21:12,23/03/2025 05:13,SGD,981525d7-e3ca-4891-9f74-75d4b25730dc,4.41,0.07,1.60%,0.071,0.064,,,
0038e02854eb47938d35831d142c8a26,"Fashion & Beauty , Cloths",Shopee Singapore,Pending,250324F1SW5UPF_3033815136_1,24/03/2025 20:08,24/03/2025 20:02,SGD,b5f8c1e4-c181-43cd-8afd-6ba33426d307,22.76,0.36,1.60%,0.364,0.331,,,
482185793,Travel,Klook Travel - CPS,Pending,2672634466_1369909044,24/03/2025 17:10,24/03/2025 17:06,SGD,3ab16958-09f7-43bd-96bf-2a60d8f1782a,82.58,4.11,4.50%,3.716,3.382,,,
ec4dd6c431464d15b24c5565b6f28858,Cafe,Foodpanda,Pending,SG_s1hj-2513-408u,24/03/2025 17:46,24/03/2025 17:25,SGD,5a837b29-5074-4a5d-8372-43e85a936e32,34.09,0.17,0.30%,0.102,0.093,,,
195909333265168,Marketplace,Shopee SG,Pending,250317TEV7RX9P,23/03/2025 19:41,15/03/2025 22:23,SGD,f872e9a5-2082-4fa3-a920-ab71505f0ac9,23.90,0.48,2.00%,0.478,0.435,,,
1100l2236649393,Travel,Expedia SG,Pending,73061898715456,23/03/2025 14:38,18/03/2025 22:46,SGD,bcd64e4e-f015-4c35-9ef4-6a37eaefb3fb,1381.69,55.27,5.00%,69.085,62.867,,,
1100l2236573579,Travel,Expedia SG,Pending,73061794490223,23/03/2025 10:02,18/03/2025 22:46,SGD,bcd64e4e-f015-4c35-9ef4-6a37eaefb3fb,1302.22,52.09,5.00%,65.111,59.251,,,
1100l2235577852,Travel,Expedia SG,Pending,73060250169612,21/03/2025 13:13,21/03/2025 12:58,SGD,94cf76ee-491d-4c8c-9fd4-29ca0a498f4f,122.60,4.90,5.00%,6.130,5.578,,,
481393252,Fashion & Retail,Uniqlo SG - CPS,Pending,0830025012503221444-2012146,22/03/2025 22:44,22/03/2025 22:42,SGD,15169525-bc35-4645-b72a-b59d9f7cfea0,39.85,1.12,2.00%,0.797,0.725,,,
481393253,Fashion & Retail,Uniqlo SG - CPS,Pending,0830025012503221444-2012146,22/03/2025 22:44,22/03/2025 22:42,SGD,15169525-bc35-4645-b72a-b59d9f7cfea0,39.85,1.12,2.00%,0.797,0.725,,,
481396477,Fashion & Retail,Uniqlo SG - CPS,Pending,0830025012503221418-2012099,22/03/2025 22:18,22/03/2025 22:17,SGD,15169525-bc35-4645-b72a-b59d9f7cfea0,39.85,1.12,2.00%,0.797,0.725,,,
481396478,Fashion & Retail,Uniqlo SG - CPS,Pending,0830025012503221418-2012099,22/03/2025 22:18,22/03/2025 22:17,SGD,15169525-bc35-4645-b72a-b59d9f7cfea0,39.85,1.12,2.00%,0.797,0.725,,,
2a424a8b2c8a41ab9fe14d93983438a5,Cafe,Foodpanda,Pending,SG_y9gp-2512-seun,23/03/2025 22:54,23/03/2025 22:45,SGD,0d04e8d6-440e-40db-a982-f55ae34455b9,19.73,0.1,0.30%,0.059,0.054,,,
be7b936dfec34e28ba091f194c475d17-1,Travel,Trip.com,Pending,1578935567422148,22/03/2025 11:54,22/03/2025 03:24,SGD,72b59a9c-9435-423d-abd7-8ebfe0a6114c,41.87,1.67,3.99%,,,,,
a295a8a6aab84c729af422edaa744f11-1,Travel,Trip.com,Pending,1578935567421434,22/03/2025 11:50,22/03/2025 03:24,SGD,72b59a9c-9435-423d-abd7-8ebfe0a6114c,48.66,1.95,4.01%,,,,,
d5f4b57d64904a38baee2ad495ec443f-1,Travel,Trip.com,Pending,1578935567417381,22/03/2025 11:30,22/03/2025 03:24,SGD,72b59a9c-9435-423d-abd7-8ebfe0a6114c,10.49,0.41,3.91%,,,,,
d94be62ced9240119d8fe1f173e1e734-1,Travel,Trip.com,Pending,1580000000000000,22/03/2025 11:27,22/03/2025 03:24,SGD,72b59a9c-9435-423d-abd7-8ebfe0a6114c,1624.82,25.99,1.60%,,,,,
abc3cc8a2a09438b9573ebbc61583595,Cafe,Foodpanda,Pending,SG_lcp1-2512-jv52,21/03/2025 14:36,21/03/2025 08:09,SGD,237b066a-5a35-4edc-b0b3-998deea3a212,14.8,0.07,0.30%,0.044,0.040,,,
